Fri Nov  6 07:55:08 2020 Fold 2, Epoch 17, lr: 0.0001419, train loss: 0.02277, valid loss: 0.02796, Acc: 99.1488, AUC: 1.000000.
Fri Nov  6 08:04:04 2020 Fold 2, Epoch 18, lr: 0.0001257, train loss: 0.01869, valid loss: 0.00310, Acc: 99.9630, AUC: 1.000000.
Fri Nov  6 08:12:59 2020 Fold 2, Epoch 19, lr: 0.0001099, train loss: 0.01769, valid loss: 0.00150, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 08:21:58 2020 Fold 2, Epoch 20, lr: 0.0000945, train loss: 0.01843, valid loss: 0.00150, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 08:30:54 2020 Fold 2, Epoch 21, lr: 0.0000797, train loss: 0.01476, valid loss: 0.00270, Acc: 99.9630, AUC: 1.000000.
Fri Nov  6 08:39:50 2020 Fold 2, Epoch 22, lr: 0.0000658, train loss: 0.02313, valid loss: 0.00320, Acc: 99.9630, AUC: 1.000000.
Fri Nov  6 08:48:47 2020 Fold 2, Epoch 23, lr: 0.0000529, train loss: 0.01922, valid loss: 0.00042, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 08:57:44 2020 Fold 2, Epoch 24, lr: 0.0000411, train loss: 0.01044, valid loss: 0.00075, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 09:06:39 2020 Fold 2, Epoch 25, lr: 0.0000306, train loss: 0.01072, valid loss: 0.00146, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 09:15:35 2020 Fold 2, Epoch 26, lr: 0.0000215, train loss: 0.01052, valid loss: 0.00167, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 09:24:31 2020 Fold 2, Epoch 27, lr: 0.0000139, train loss: 0.00965, valid loss: 0.00099, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 09:33:26 2020 Fold 2, Epoch 28, lr: 0.0000079, train loss: 0.01086, valid loss: 0.00119, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 09:42:21 2020 Fold 2, Epoch 29, lr: 0.0000035, train loss: 0.01477, valid loss: 0.00015, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 09:51:16 2020 Fold 2, Epoch 30, lr: 0.0000009, train loss: 0.00913, valid loss: 0.00141, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 10:00:10 2020 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.24652, valid loss: 0.06694, Acc: 98.1322, AUC: 0.998986.
Fri Nov  6 10:09:04 2020 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.16364, valid loss: 0.01631, Acc: 99.7486, AUC: 0.999971.
Fri Nov  6 10:17:57 2020 Fold 3, Epoch 3, lr: 0.0002991, train loss: 0.09622, valid loss: 0.02143, Acc: 99.6408, AUC: 0.999900.
Fri Nov  6 10:26:50 2020 Fold 3, Epoch 4, lr: 0.0002965, train loss: 0.07836, valid loss: 0.14587, Acc: 95.3305, AUC: 0.997375.
Fri Nov  6 10:35:43 2020 Fold 3, Epoch 5, lr: 0.0002921, train loss: 0.06629, valid loss: 0.04483, Acc: 98.3836, AUC: 0.999960.
Fri Nov  6 10:44:36 2020 Fold 3, Epoch 6, lr: 0.0002861, train loss: 0.06384, valid loss: 0.02085, Acc: 99.2457, AUC: 0.999995.
Fri Nov  6 10:53:28 2020 Fold 3, Epoch 7, lr: 0.0002785, train loss: 0.04945, valid loss: 0.11581, Acc: 98.4914, AUC: 0.997633.
Fri Nov  6 11:02:21 2020 Fold 3, Epoch 8, lr: 0.0002694, train loss: 0.05351, valid loss: 0.04621, Acc: 99.0302, AUC: 0.999130.
Fri Nov  6 11:11:16 2020 Fold 3, Epoch 9, lr: 0.0002589, train loss: 0.05154, valid loss: 0.06922, Acc: 98.4914, AUC: 0.998473.
Fri Nov  6 11:20:08 2020 Fold 3, Epoch 10, lr: 0.0002471, train loss: 0.04219, valid loss: 0.20421, Acc: 88.4698, AUC: 0.999967.
Fri Nov  6 11:29:01 2020 Fold 3, Epoch 11, lr: 0.0002342, train loss: 0.03472, valid loss: 0.11190, Acc: 98.5632, AUC: 0.996950.
Fri Nov  6 11:37:54 2020 Fold 3, Epoch 12, lr: 0.0002203, train loss: 0.03918, valid loss: 0.08807, Acc: 98.7787, AUC: 0.996448.
Fri Nov  6 11:46:47 2020 Fold 3, Epoch 13, lr: 0.0002055, train loss: 0.03181, valid loss: 0.08585, Acc: 98.5991, AUC: 0.998551.
Fri Nov  6 11:55:40 2020 Fold 3, Epoch 14, lr: 0.0001901, train loss: 0.03096, valid loss: 0.12853, Acc: 98.2759, AUC: 0.994860.
Fri Nov  6 12:04:34 2020 Fold 3, Epoch 15, lr: 0.0001743, train loss: 0.02806, valid loss: 0.18086, Acc: 98.3477, AUC: 0.991755.
Fri Nov  6 12:13:27 2020 Fold 3, Epoch 16, lr: 0.0001581, train loss: 0.02938, valid loss: 0.11068, Acc: 98.4195, AUC: 0.994904.
Fri Nov  6 12:22:21 2020 Fold 3, Epoch 17, lr: 0.0001419, train loss: 0.02130, valid loss: 0.22329, Acc: 98.5991, AUC: 0.986361.
Fri Nov  6 12:31:15 2020 Fold 3, Epoch 18, lr: 0.0001257, train loss: 0.02855, valid loss: 0.49080, Acc: 98.5991, AUC: 0.983316.
Fri Nov  6 12:40:08 2020 Fold 3, Epoch 19, lr: 0.0001099, train loss: 0.01699, valid loss: 0.18696, Acc: 97.9167, AUC: 0.985361.
Fri Nov  6 12:49:02 2020 Fold 3, Epoch 20, lr: 0.0000945, train loss: 0.01844, valid loss: 0.20808, Acc: 98.5632, AUC: 0.985380.
Fri Nov  6 12:57:55 2020 Fold 3, Epoch 21, lr: 0.0000797, train loss: 0.01577, valid loss: 0.20048, Acc: 97.0546, AUC: 0.987364.
Fri Nov  6 13:06:49 2020 Fold 3, Epoch 22, lr: 0.0000658, train loss: 0.01911, valid loss: 0.14741, Acc: 98.5273, AUC: 0.992844.
Fri Nov  6 13:15:42 2020 Fold 3, Epoch 23, lr: 0.0000529, train loss: 0.01794, valid loss: 0.24450, Acc: 98.0603, AUC: 0.986375.
Fri Nov  6 13:24:37 2020 Fold 3, Epoch 24, lr: 0.0000411, train loss: 0.01154, valid loss: 0.35077, Acc: 98.2759, AUC: 0.982891.
Fri Nov  6 13:33:30 2020 Fold 3, Epoch 25, lr: 0.0000306, train loss: 0.01049, valid loss: 0.27994, Acc: 98.1322, AUC: 0.982914.
Fri Nov  6 13:42:24 2020 Fold 3, Epoch 26, lr: 0.0000215, train loss: 0.00984, valid loss: 0.32257, Acc: 98.0603, AUC: 0.979012.
Fri Nov  6 13:51:17 2020 Fold 3, Epoch 27, lr: 0.0000139, train loss: 0.00721, valid loss: 0.31798, Acc: 98.0963, AUC: 0.981520.
Fri Nov  6 14:00:10 2020 Fold 3, Epoch 28, lr: 0.0000079, train loss: 0.00989, valid loss: 0.33807, Acc: 97.9167, AUC: 0.979690.
Fri Nov  6 14:09:03 2020 Fold 3, Epoch 29, lr: 0.0000035, train loss: 0.00727, valid loss: 0.31505, Acc: 98.0244, AUC: 0.980896.
Fri Nov  6 14:17:53 2020 Fold 3, Epoch 30, lr: 0.0000009, train loss: 0.00995, valid loss: 0.38245, Acc: 97.5575, AUC: 0.982929.
Fri Nov  6 14:26:45 2020 Fold 4, Epoch 1, lr: 0.0000300, train loss: 0.25115, valid loss: 0.10658, Acc: 97.1529, AUC: 0.996935.
