Mon Dec 28 12:54:12 2020 Fold 4, Epoch 11, lr: 0.0001624, train loss: 0.09381, valid loss: 0.02787, Acc: 99.6837, AUC: 1.000000.
Mon Dec 28 13:06:39 2020 Fold 4, Epoch 12, lr: 0.0001376, train loss: 0.04636, valid loss: 0.02753, Acc: 99.2619, AUC: 0.999989.
Mon Dec 28 13:23:44 2020 Fold 4, Epoch 13, lr: 0.0001132, train loss: 0.05859, valid loss: 0.02993, Acc: 99.1213, AUC: 0.999997.
Mon Dec 28 13:35:10 2020 Fold 4, Epoch 14, lr: 0.0000897, train loss: 0.03846, valid loss: 0.02258, Acc: 99.2619, AUC: 0.999977.
Mon Dec 28 13:47:02 2020 Fold 4, Epoch 15, lr: 0.0000680, train loss: 0.03474, valid loss: 0.02224, Acc: 99.2970, AUC: 1.000000.
Mon Dec 28 13:58:17 2020 Fold 4, Epoch 16, lr: 0.0000484, train loss: 0.02991, valid loss: 0.04138, Acc: 98.3128, AUC: 1.000000.
Mon Dec 28 14:09:19 2020 Fold 4, Epoch 17, lr: 0.0000316, train loss: 0.02788, valid loss: 0.01172, Acc: 99.7540, AUC: 1.000000.
Mon Dec 28 14:20:20 2020 Fold 4, Epoch 18, lr: 0.0000181, train loss: 0.02057, valid loss: 0.02122, Acc: 99.2619, AUC: 1.000000.
Mon Dec 28 14:31:29 2020 Fold 4, Epoch 19, lr: 0.0000081, train loss: 0.02337, valid loss: 0.01649, Acc: 99.7188, AUC: 1.000000.
Mon Dec 28 14:42:50 2020 Fold 4, Epoch 20, lr: 0.0000020, train loss: 0.02295, valid loss: 0.01777, Acc: 99.4025, AUC: 1.000000.
